;hj_a;hj_w;rc_a;rc_w
0;0.0;0.0;0.0;0.0
1;0.04404234058528618;0.8420135818743686;0.04404240446833499;0.842014767868356
2;0.1612088674315036;1.468137258077161;0.1612090882871468;1.4681391393216412
3;0.3315673012548843;1.9110991488558762;0.33156772870637774;1.9111013444662357
4;0.5383310417495484;2.2010371276724365;0.5383316922406267;2.201039352580002
5;0.7675882414209768;2.3652834208451843;0.767589107092003;2.36528547173552
6;1.0080157716727836;2.428274211400361;1.0080168278522983;2.428275953160888
7;1.2505893088657225;2.411557729627197;1.2505905202489018;2.4115590826761784
8;1.4882981861731945;2.3338781014527883;1.4882995117875257;2.3338790301984633
9;1.715871591603607;2.211315282330942;1.715872988683412;2.2113157849010303
10;1.9295208473670462;2.057464497552202;1.9295222742672615;2.0574645968537557
11;2.1267010264066495;1.883641255229743;2.126702444689449;1.8836409913350842
12;2.3058938792405397;1.6991004626115032;2.305895255064318;1.6990998864212496
13;2.4664129482096793;1.5112608143681219;2.4664142531450817;1.5112599824648478
14;2.6082311175558406;1.3259268554273078;2.608232328942412;1.3259258260124316
15;2.7318299997226623;1.147503499327245;2.7318311006683573;1.1475023291242057
16;2.83807022662535;0.9791989290954412;2.838071205739345;0.9791976710932635
17;2.9280813337975777;0.8232130531830987;2.928082184734377;0.8232117550961717
18;3.003169680580664;0.6809098426500996;3.0031704014609977;0.680908545974972
19;3.0647427675097085;0.5529725350098298;3.064743360272268;0.552971274567496
20;3.114248199211041;0.43954152798312385;3.1142486689383695;0.43954033184479474
21;3.1531255818341624;0.34033520046090643;3.153125936086576;0.34033409016662447
22;3.182769675922809;0.2547543453588194;3.1827699241053424;0.2547533363496364
23;3.204503210979971;0.18197116405574673;3.2045033637604337;0.18197026625163398
24;3.2195578761380848;0.12100398202006829;3.219557944927788;0.12100320048707996
25;3.2290621210720816;0.07077893856178269;3.229062117575824;0.07077827422174734
26;3.23403453167436;0.03018000376920768;3.2340344675117887;0.03017945411584146
27;3.2353816720630255;-0.0019113513376888668;3.2353815584607055;-0.001911791544692426
28;3.2338994405648034;-0.026585529623808654;3.2338992881160746;-0.026585867708220363
29;3.230277080811372;-0.044881958921994126;3.2302768992978725;-0.04488220369669635
30;3.2251031443508045;-0.0577728660992118;3.2251029426208047;-0.05777302733915395
31;3.218872785963256;-0.06615257540473117;3.2188725718586952;-0.06615266338962003
32;3.2119958960947463;-0.07083135872855603;3.2119956764207442;-0.07083138385793541
33;3.204805654893639;-0.0725329491675552;3.204805435422866;-0.07253292164548485
34;3.1975671984301517;-0.0718949853486114;3.197566983935135;-0.07189491493395395
35;3.190486090214779;-0.06947159161279187;3.1904858845225106;-0.06947148743117874
36;3.183716485424283;-0.06573768405273062;3.183716291486783;-0.06573755446261996
37;3.177368791846014;-0.061094394475172197;3.17736861182154;-0.06109424698177799
38;3.1715167355180247;-0.05587521969351446;3.171516570858979;-0.05587506090377506
39;3.166203803419417;-0.0503525829093361;3.166203654962989;-0.050352418521110484
40;3.1614490134984328;-0.04474453291990115;3.1614488815568786;-0.04474436773905658
41;3.1572520223593084;-0.039221368403657066;3.1572519068074185;-0.03922120638297298
42;3.1535975747301204;-0.03391201388944599;3.1535974750876634;-0.03391185818316404
43;3.150459339981787;-0.028910060528646222;3.1504592554904183;-0.028909913559848083
44;3.147803160186526;-0.02427935745332844;3.1478030898790577;-0.024279220987400013
45;3.1455897639343915;-0.02005912220169718;3.1455897066967538;-0.020058997424218867
46;3.1437769958303465;-0.01626854215683809;3.143776950455642;-0.016268429751949646
47;3.1423216115543027;-0.012910854775586974;3.142321576789073;-0.012910755002832404
48;3.141180688887259;-0.009976923038936072;3.141180663470223;-0.009976835806738991
49;3.140312707993798;-0.007448320519044313;3.140312690687539;-0.007448245453387131
50;3.139678344676427;-0.005299958330711572;3.13967833429238;-0.005299894837972837
51;3.139241023429364;-0.0035022892682408076;3.139241018846936;-0.0035022365918541435
52;3.138967268798129;-0.00202312437557277;3.138967268978412;-0.002023081645648211
53;3.138826893860183;-0.0008291046434579647;3.138826897855108;-0.0008290709201988034
54;3.138793056356941;0.00011313437230121162;3.138793063314355;0.00011316006209619194
55;3.138842212338395;0.0008360645082744812;3.1388422215038436;0.0008360831407968897
56;3.1389539916916416;0.0013705975114974374;3.1389540024073987;0.0013706100413540822
57;3.139111017173605;0.001745612203840655;3.1391110288755004;0.0017456195448572165
58;3.139298684114207;0.0019876466630943516;3.1392986963267973;0.0019876496738561716
59;3.1395049175507332;0.0021207161167813987;3.1395049298812743;0.002120715590186489
60;3.1397199137716467;0.002166256996337805;3.1397199259030297;0.0021662536536270587
61;3.1399358838319475;0.002143136711589047;3.1399358955154213;0.002143131198559963
62;3.1401468010367686;0.0020677365181489514;3.1401468120844602;0.002067729403884081
63;3.1403481583059656;0.001954081122866573;3.1403481685830568;0.0019540729014421382
64;3.140536738918567;0.0018140055049504459;3.1405367483360274;0.0018139965980749865
65;3.140710408245992;0.0016573376623597673;3.140710416753495;0.0016573284236052204
66;3.140867922375431;0.0014920951257251203;3.140867929954831;0.0014920858453139076
67;3.1410087568958454;0.001324685889943724;3.141008763555046;0.001324676800753883
68;3.141132957142195;0.0011601065212561862;3.1411329629098415;0.0011600978039169117
69;3.1412410023698714;0.0010021293900243724;3.141241007290263;0.001002121179616817
70;3.1413336985236966;0.0008534826329998211;3.1413337026524126;0.0008534750248451535
71;3.141412077839502;0.0007160185237921841;3.1414120812402078;0.0007160115790013165
72;3.1414773182189037;0.0005908665731684085;3.141477320959793;0.0005908603241461792
73;3.1415306833509375;0.00047856300978662615;3.1415306855020573;0.00047855746547281476
74;3.1415734653531477;0.0003791758880723321;3.1415734669846382;0.00037917103817519134
75;3.1416069422317916;0.00029241325626095266;3.141606943411994;0.00029240907552780036
76;3.141632351235459;0.00021770783229381423;3.141632352029549;0.0002177042843606575
77;3.1416508615871273;0.00015429919312887958;3.1416508620561596;0.00015429623364105656
78;3.1416635591840394;0.00010129825436662233;3.1416635593844515;0.00010129583351553766
79;3.1416714368449856;5.774072016460186e-05;3.1416714368280876;5.7738785133356504e-05
80;3.1416753892961156;2.262944645620784e-05;3.141675389107747;2.262794367034203e-05
81;3.141676211371223;-5.0309776686168954e-06;3.141676211051923;-5.0321014021838725e-06
82;3.1416745994563535;-2.620744747902871e-05;3.1416745990414747;-2.6208243782283836e-05
83;3.141671155546724;-4.1819302825390076e-05;3.1416711550665846;-4.181982077365557e-05
84;3.141666392574282;-5.272431301024185e-05;3.1416663920542645;-5.2724597645929286e-05
85;3.141660740095573;-5.970646771927364e-05;3.1416607395567784;-5.9706560747013216e-05
86;3.141654555566196;-6.348142526790163e-05;3.141654555026341;-6.348136557271946e-05
87;3.141648128012984;-6.468491942673113e-05;3.141648127485351;-6.468473996216837e-05
88;3.1416416857366656;-6.387453502183766e-05;3.141641685231809;-6.387426574066925e-05
89;3.14163540487935;-6.15340105055404e-05;3.1416354044047763;-6.153367677748062e-05
90;3.141629416722745;-5.8077738842702825e-05;3.141629416283751;-5.807736261327524e-05
91;3.141623814843107;-5.38541667506721e-05;3.141623814443092;-5.385376623564081e-05
92;3.141618661764797;-4.915300600496114e-05;3.141618661405465;-4.915259624187057e-05
93;3.1416139926569526;-4.420985663782042e-05;3.141613992338481;-4.420944979902661e-05
94;3.141609821634278;-3.921341982983969e-05;3.141609821355917;-3.921302538587875e-05
95;3.1416061467575327;-3.4310342706695374e-05;3.1416061465177525;-3.43099679802581e-05
96;3.1416029529402154;-2.961102926798882e-05;3.1416029527366516;-2.9610679185214403e-05
97;3.1416002151951115;-2.5194244962242907e-05;3.1416002150251785;-2.519392312279674e-05
98;3.1415979027592313;-2.1114437040115023e-05;3.1415979026199787;-2.111414543397058e-05
99;3.1415959800055977;-1.740362206454865e-05;3.141595979893953;-1.740336154619301e-05
100;3.1415944091993233;-1.4076925794811542e-05;3.1415944091121735;-1.4076696237874517e-05
101;3.1415931517538183;-1.1135503156355923e-05;3.1415931516881095;-1.1135303716757847e-05
102;3.1415921695290963;-8.570062923619727e-06;3.1415921694818794;-8.569892182478221e-06
103;3.141591425774317;-6.363231913349442e-06;3.1415914257428166;-6.363088017189887e-06
104;3.141590885829666;-4.492436431131208e-06;3.141590885811324;-4.492317349438064e-06
105;3.14159051715275;-2.930015938879426e-06;3.141590517145182;-2.929919341863475e-06
106;3.141590290400286;-1.6475918992206805e-06;3.141590290401307;-1.6475153171676321e-06
107;3.141590179055129;-6.148825375394899e-07;3.1415901790628493;-6.148235958448973e-07
108;3.1415901596827496;1.9724178543748074e-07;3.141590159695481;1.972854344554451e-07
109;3.141590211549126;8.180252641047826e-07;3.1415902115651355;8.180560171965187e-07
110;3.1415903174009787;1.2741951432623154e-06;3.1415903174197246;1.2742147158841897e-06
111;3.1415904619308943;1.5912315902534872e-06;3.141590461950646;1.5912426164967136e-06
112;3.1415906326489385;1.7921089229665992e-06;3.1415906326693532;1.7921125042891474e-06
113;3.1415908182293175;1.8989227218181522e-06;3.1415908182495156;1.898920767920635e-06
114;3.141591011197678;1.9291016209561247e-06;3.141591011217272;1.92909535808869e-06
115;3.141591203518897;1.900716375744893e-06;3.1415912035376468;1.9007068803569598e-06
116;3.1415913910692375;1.8269057973877477e-06;3.1415913910866973;1.8268941445991307e-06
117;3.141591569034237;1.7215270826118525e-06;3.14159156905049;1.7215137013678848e-06
118;3.1415917354403082;1.593635501533097e-06;3.1415917354550253;1.5936214017576164e-06
119;3.1415918880288203;1.4526907517019215e-06;3.1415918880421283;1.4526761995103732e-06
120;3.1415920264810655;1.303983379328776e-06;3.1415920264927606;1.3039692442486795e-06
121;3.14159215014142;1.1535041135971892e-06;3.1415921501517485;1.1534902659892623e-06
122;3.1415922580529765;1.0078385044714495e-06;3.141592258062143;1.007824925971606e-06
123;3.141592351513446;8.684125412830998e-07;3.141592351521204;8.684000981826803e-07
124;3.1415924315215324;7.37336467774188e-07;3.141592431528051;7.373249526394009e-07
125;3.141592498657838;6.175909444278778e-07;3.141592498663298;6.175801860117536e-07
126;3.1415925542681626;5.090052939242375e-07;3.1415925542725507;5.089957891603196e-07
127;3.141592599609506;4.1177455180060684e-07;3.141592599612949;4.117661070964654e-07
128;3.141592639510019;3.252930414292831e-07;3.141592639514018;3.252846341765018e-07
129;3.14159266486293;2.523608612527778e-07;3.141592664865418;2.523541706363911e-07
130;3.141592685284598;1.890486851360513e-07;3.1415926852860037;1.8904327573356563e-07
131;3.1415927008181317;1.3527102013550228e-07;3.141592700818782;1.3526665426866104e-07
132;3.1415927121442135;8.967796999077633e-08;3.141592712144232;8.96747355618314e-08
133;3.141592719497824;5.180353049613099e-08;3.14159271949754;5.180108637929826e-08
134;3.14159272320381;2.126599632240081e-08;3.1415927232032685;2.1264315494503974e-08
135;3.1415927245006987;-3.38994369597119e-09;3.141592724499924;-3.3909243607620882e-09
136;3.1415927235094077;-2.230637172867802e-08;3.1415927235085643;-2.230688691706142e-08
137;3.141592720373562;-3.569728436084142e-08;3.141592720372605;-3.5697263431648314e-08
138;3.1415927169251323;-4.6292264576578576e-08;3.141592716924152;-4.629191618851012e-08
139;3.141592712063583;-5.246252140436929e-08;3.1415927120626574;-5.246198331605151e-08
140;3.1415927061007602;-5.4916746333294435e-08;3.1415927061000173;-5.4916216224357524e-08
141;3.1415926993916905;-5.4353742529311976e-08;3.141592699391277;-5.4353461737114264e-08
142;3.141592692336433;-5.146200065476869e-08;3.141592692336497;-5.146223313457426e-08
143;3.1415926853350458;-4.6930011372011336e-08;3.141592685335739;-4.6931043696990036e-08
144;3.141592678787587;-4.1446265343386635e-08;3.141592678789063;-4.1448406704614103e-08
145;3.141592673094117;-3.569925323124133e-08;3.1415926730965293;-3.570283543769896e-08
146;3.141592667104446;-2.856841584986782e-08;3.1415926671055305;-2.8570746142119463e-08
147;3.141592660791302;-2.0243572313551336e-08;3.1415926607927003;-2.0246477049940114e-08
148;3.141592655232545;-1.22041696170993e-08;3.1415926552343225;-1.2207750875399411e-08
149;3.1415926506685863;-4.952398111604867e-09;3.1415926506708143;-4.956764147524023e-09
150;3.1415926473398357;1.0095518518388174e-09;3.141592647342594;1.0042866046593684e-09
151;3.1415926454867047;5.179489922138652e-09;3.1415926454900798;5.173204852124154e-09
152;3.141592645241495;7.2192390194311336e-09;3.1415926452438585;7.214419853074696e-09
153;3.141592644197186;1.0643117024488507e-08;3.1415926441993505;1.0638486458010426e-08
154;3.14159264378395;1.3143905438152602e-08;3.141592643785916;1.3139452552083113e-08
155;3.1415926439788118;1.4619005382376884e-08;3.1415926439806086;1.4614674110755878e-08
156;3.1415926447587954;1.496581797911482e-08;3.141592644760482;1.496150710949183e-08
157;3.141592646024205;1.4276883026323447e-08;3.141592646025494;1.4273376084478347e-08
158;3.1415926472344444;1.3766147450761501e-08;3.141592647235438;1.3763106258124727e-08
159;3.1415926486063945;1.2720949791055154e-08;3.141592648607117;1.27183353654667e-08
160;3.1415926500584925;1.1187704333664074e-08;3.141592650058986;1.1185445593317182e-08
161;3.141592651509177;9.212825365047884e-09;3.1415926515094994;9.210819128489047e-09
162;3.141592652897525;6.9665876805166025e-09;3.1415926528977667;6.965048855661938e-09
163;3.141592654210466;4.906423770075285e-09;3.1415926542105455;4.9052820621123524e-09
164;3.141592655333403;2.880504653281502e-09;3.1415926553333366;2.8797222569402025e-09
165;3.141592656193885;9.89924888683857e-10;3.141592656193691;9.894520058396508e-10
166;3.1415926567194634;-6.642209651692507e-10;3.1415926567191597;-6.644461254953456e-10
167;3.1415926570119943;-2.1045840391026397e-09;3.1415926570118353;-2.104771958181818e-09
168;3.1415926573230313;-3.4600872099007495e-09;3.141592657322873;-3.460121504961292e-09
169;3.141592657414753;-4.512235292379921e-09;3.141592657414599;-4.512143359802658e-09
170;3.1415926572678754;-5.197677764934591e-09;3.141592657267721;-5.197484209820643e-09
171;3.1415926568631147;-5.45306410595926e-09;3.1415926568629486;-5.45279074213004e-09
172;3.141592656493977;-5.733791554848637e-09;3.141592656494119;-5.733957513313518e-09
173;3.141592656360771;-6.340691332889211e-09;3.1415926563611105;-6.341073897021549e-09
174;3.1415926561874845;-6.784644014471836e-09;3.1415926561880267;-6.785266470420109e-09
175;3.141592655984515;-7.051522889328751e-09;3.141592655985258;-7.052400499421822e-09
176;3.1415926557622584;-7.127201247192217e-09;3.1415926557631932;-7.128341249939338e-09
177;3.1415926555311118;-6.997552377794474e-09;3.1415926555322224;-6.998953987885284e-09
178;3.141592655301471;-6.648449570867758e-09;3.141592655302736;-6.650103979172282e-09
179;3.1415926550837336;-6.065766116144313e-09;3.1415926550851223;-6.067656489712962e-09
180;3.1415926548298865;-5.6268337951008645e-09;3.141592654831428;-5.628757914176493e-09
181;3.141592654551283;-5.311113408769109e-09;3.1415926545529325;-5.313307628035748e-09
182;3.1415926542793438;-4.963577112973868e-09;3.1415926542810713;-4.966028576490313e-09
183;3.14159265402062;-4.5958685236979045e-09;3.1415926540223906;-4.598558277017259e-09
184;3.141592653781663;-4.21963125692402e-09;3.141592653783438;-4.222534247093693e-09
185;3.141592653569025;-3.8465089286350144e-09;3.14159265357076;-3.849594004196723e-09
186;3.1415926533892558;-3.4881451548136505e-09;3.1415926533909033;-3.491375065803419e-09
187;3.1415926532489085;-3.1561835514427395e-09;3.1415926532504153;-3.1595149493909e-09
188;3.1415926530680913;-2.7318338234093913e-09;3.141592653069614;-2.7354039688412544e-09
189;3.141592652889633;-2.281478837143714e-09;3.141592652891058;-2.285073907764561e-09
190;3.1415926527287805;-1.8298826480007805e-09;3.141592652730084;-1.8334405809662892e-09
191;3.1415926525877924;-1.3822114535318955e-09;3.1415926525889506;-1.385663758303715e-09
192;3.1415926524689275;-9.43631451288413e-10;3.1415926524699165;-9.469032096341634e-10
193;3.1415926523744444;-5.193088388216859e-10;3.1415926523752393;-5.223187048149592e-10
194;3.1415926523066013;-1.1440981368302065e-10;3.141592652307178;-1.1707001370338178e-10
195;3.141592652266808;2.6533140990785087e-10;3.141592652267196;2.631425986185817e-10
196;3.1415926522282778;5.953372463290911e-10;3.1415926522285007;5.934208833427358e-10
197;3.141592652212153;8.830618294735242e-10;3.141592652212218;8.814248341766178e-10
198;3.1415926522194475;1.1225071322620376e-09;3.141592652219366;1.1211514152219164e-09
199;3.1415926522511755;1.3076751276155446e-09;3.141592652250961;1.3065975905803483e-09
200;3.141592652308351;1.4325677884549276e-09;3.1415926523080207;1.4317603243535976e-09
201;3.1415926523919877;1.4911870877010913e-09;3.1415926523915627;1.4906365806433716e-09
202;3.1415926525031;1.4775349982749261e-09;3.1415926525026037;1.4772233235513625e-09
203;3.14159265260579;1.5039173591468392e-09;3.141592652605804;1.5018363199346132e-09
204;3.141592652593417;1.909366414634848e-09;3.1415926525937836;1.9052673809320505e-09
205;3.1415926525886126;2.298098883880341e-09;3.141592652589332;2.2919260472989963e-09
206;3.1415926525914366;2.6671793780076656e-09;3.1415926525925073;2.658881204081272e-09
207;3.141592652601947;3.0136725081411153e-09;3.141592652603366;3.003201736324664e-09
208;3.1415926526202016;3.3346428854049888e-09;3.141592652621965;3.32195652907495e-09
209;3.14159265264626;3.62715512092362e-09;3.141592652648362;3.612214467377952e-09
210;3.1415926526801794;3.888273825821301e-09;3.141592652682614;3.871044436279443e-09
211;3.1415926527220193;4.115063611222362e-09;3.141592652724777;4.095515320825234e-09
212;3.141592652771837;4.304589088251102e-09;3.14159265277491;4.282696006061115e-09
213;3.1415926528296927;4.453914868031831e-09;3.141592652833068;4.429655377032874e-09
214;3.1415926528956435;4.560105561688865e-09;3.14159265289931;4.533462318786316e-09
215;3.1415926529697478;4.620225780346513e-09;3.141592652973692;4.59118571636723e-09
216;3.1415926530520646;4.631340135129089e-09;3.1415926530562714;4.599894454821414e-09
217;3.141592653142652;4.590513237160899e-09;3.1415926531471055;4.556657419194662e-09
218;3.141592653241569;4.494809697566261e-09;3.141592653246251;4.458543494532772e-09
219;3.1415926533488734;4.341294127469478e-09;3.1415926533537655;4.302621565881532e-09
220;3.141592653464624;4.1270311379948725e-09;3.1415926534697056;4.085960518286748e-09
221;3.141592653588879;3.849085340266741e-09;3.1415926535941288;3.805629236794202e-09
222;3.1415926537216974;3.5045213454093993e-09;3.141592653727092;3.4586966064496925e-09
223;3.141592653863137;3.0904037645471766e-09;3.1415926538686523;3.0422315122990328e-09
224;3.1415926540132566;2.603797208804353e-09;3.1415926540188672;2.5533028393879865e-09
225;3.1415926541721144;2.041766289305275e-09;3.141592654177793;1.9889794727623856e-09
226;3.14159265430251;1.6491408287579868e-09;3.1415926543017756;1.6368366372436967e-09
227;3.141592654383091;1.5653609165851499e-09;3.141592654382065;1.5524734254478012e-09
228;3.141592654460656;1.4766809958057574e-09;3.1415926544593025;1.4632362546638114e-09
229;3.1415926545347705;1.3834411143667221e-09;3.141592654533053;1.369469152844418e-09
230;3.1415926546050006;1.28598132021497e-09;3.1415926546028805;1.2715161479423272e-09
231;3.1415926546709123;1.1846416612974122e-09;3.1415926546683495;1.1697212679102291e-09
232;3.141592654732072;1.0797621855609717e-09;3.1415926547290236;1.064428540700825e-09
233;3.141592654788044;9.716829409525712e-10;3.141592654784468;9.559819942668179e-10
234;3.1415926548383957;8.607439754191217e-10;3.141592654834247;8.447256565608973e-10
235;3.1415926548826927;7.472853369075502e-10;3.141592654877924;7.310035555357695e-10
236;3.1415926549205;6.316470733647673e-10;3.141592654915064;6.151597191441247e-10
237;3.141592654951385;5.141692327376964e-10;3.1415926549452315;4.975381753386649e-10
238;3.1415926549749122;3.9519186297326067e-10;3.1415926549679902;3.7848295207209243e-10
239;3.141592654990648;2.7505501201837e-10;3.141592654982905;2.5833807729709645e-10
240;3.1415926549981585;1.540987278199524e-10;3.1415926549895397;1.3744757896638463e-10
241;3.1415926549970097;3.266305832491785e-11;3.1415926549874587;1.6155485032645326e-11
242;3.1415926549867668;-8.891194851981019e-11;3.1415926549762263;-1.051941765514184e-10
243;3.141592654966996;-2.1028624476730843e-10;3.141592654955407;-2.2625737783310424e-10
244;3.1415926549372633;-3.3111978247066694e-10;3.141592654924565;-3.466900908597229e-10
245;3.1415926548971345;-4.510725136829578e-10;3.1415926548832642;-4.661482876785674e-10
246;3.1415926548461757;-5.698043904572708e-10;3.14159265483107;-5.842879403369485e-10
247;3.1415926547839526;-6.869753648466828e-10;3.1415926547675457;-7.007650208821637e-10
248;3.141592654710031;-8.022453889042707e-10;3.1415926546922557;-8.152355013615108e-10
249;3.141592654672289;-9.016735128604531e-10;3.141592654665047;-9.106975241248286e-10
250;3.141592654658545;-9.882268879621397e-10;3.141592654651047;-9.963227711634652e-10
251;3.1415926546421846;-1.068935758526083e-09;3.1415926546344206;-1.0760228332124103e-09
252;3.1415926546231985;-1.1433403862642412e-09;3.141592654615158;-1.1493358612901158e-09
253;3.1415926546015784;-1.210981032888574e-09;3.14159265459325;-1.2158000064150362e-09
254;3.141592654577315;-1.2713979601110463e-09;3.141592654568687;-1.2749534196056317e-09
